study,subject_id,session_name,time_bin_start_s,leverpress_count_5s
2,EXT2R,LTM2,0.0,1
2,EXT2R,LTM2,75.0,1
2,EXT2R,LTM2,90.0,1
2,EXT2R,LTM2,100.0,1
2,EXT2R,LTM2,200.0,1
2,EXT2R,LTM2,215.0,1
2,EXT2R,LTM2,305.0,1
2,EXT2R,LTM2,395.0,1
2,EXT2R,LTM2,495.0,1
2,EXT2R,LTM2,640.0,1
2,EXT2R,LTM2,665.0,1
2,EXT2R,extinction1,0.0,1
2,EXT2R,extinction1,90.0,1
2,EXT2R,extinction1,1475.0,1
2,EXT2R,extinction1,3145.0,1
2,EXT2R,extinction3,0.0,1
2,EXT2R,extinction3,10.0,1
2,EXT2R,extinction3,25.0,1
2,EXT2R,extinction3,125.0,1
2,EXT2R,extinction3,155.0,1
2,EXT2R,extinction3,590.0,1
2,EXT2R,extinction3,705.0,1
2,EXT2R,extinction3,715.0,1
2,EXT2R,extinction3,825.0,1
2,EXT2R,extinction3,920.0,1
2,EXT2R,extinction3,1065.0,1
