study,subject_id,session_name,time_bin_start_s,usv22_call_count_5s,usv50_call_count_5s
1a,XIN1R,learning,55.0,0,2
1a,XIN1R,learning,65.0,0,1
1a,XIN1R,learning,70.0,0,5
1a,XIN1R,learning,75.0,0,2
1a,XIN1R,learning,80.0,0,5
1a,XIN1R,learning,90.0,0,3
1a,XIN1R,learning,95.0,0,1
1a,XIN1R,learning,100.0,0,1
1a,XIN1R,learning,120.0,0,1
1a,XIN1R,learning,130.0,0,1
1a,XIN1R,learning,135.0,0,1
1a,XIN1R,learning,140.0,0,2
1a,XIN1R,learning,145.0,0,2
1a,XIN1R,learning,150.0,0,4
1a,XIN1R,learning,160.0,0,2
1a,XIN1R,learning,165.0,0,1
1a,XIN1R,learning,170.0,0,3
1a,XIN1R,learning,185.0,0,2
1a,XIN1R,learning,195.0,0,2
1a,XIN1R,learning,230.0,0,1
1a,XIN1R,learning,250.0,0,3
1a,XIN1R,learning,255.0,0,1
1a,XIN1R,learning,260.0,0,2
1a,XIN1R,learning,295.0,0,2
1a,XIN1R,learning,365.0,0,1
1a,XIN1R,learning,625.0,0,1
