study,subject_id,session_name,band,source_filepath,score,n_raw_rows
1b,XIN4G,retest_contextual,50,研究1b/oringinaldata/50kHz USVs/contextual test/后测/Xin4Gcontext2 2024-09-23  9_07 PM_Stats.xlsx,0,146.0
1b,XIN4G,retest_cue,50,研究1b/oringinaldata/50kHz USVs/cue test/后测/xin4Gcue2 2024-09-23  8_44 PM_Stats.xlsx,0,114.0
1b,XIN4R,pretest_contextual,50,研究1b/oringinaldata/50kHz USVs/contextual test/前测/Xin4Rcontext 2024-04-29  9_39 PM_Stats.xlsx,0,2.0
1b,XIN4R,pretest_cue,22,研究1b/oringinaldata/22kHz USVs/cue test/前测/Xin4Rcue 2024-04-26  1_51 PM_Stats.xlsx,0,30.0
1b,XIN4R,pretest_cue,50,研究1b/oringinaldata/50kHz USVs/cue test/前测/Xin4Rcue 2024-04-30 11_11 AM_Stats.xlsx,0,6.0
1b,XIN4R,retest_contextual,50,研究1b/oringinaldata/50kHz USVs/contextual test/后测/Xin4Rcontex2 2024-09-23  9_16 PM_Stats.xlsx,0,69.0
1b,XIN4R,retest_cue,50,研究1b/oringinaldata/50kHz USVs/cue test/后测/xin4Rcue2 2024-09-23  8_32 PM_Stats.xlsx,0,6.0
2,EXT1B,LTM1,22,研究2/orginal data/22kHz USVs/4LTM/0223处理/EXT1B 2025-01-01  5_10 PM_Stats.xlsx,35,166.0
2,EXT1B,LTM2,22,研究2/orginal data/22kHz USVs/9LTM2/EXT1B 2025-02-08  4_35 PM_Stats.xlsx,15,9.0
2,EXT1B,LTM2,50,研究2/orginal data/50kHz USVs/9LTM2/EXT1B 2025-02-17  8_33 PM_Stats.xlsx,15,145.0
2,EXT1B,extinction1,22,研究2/orginal data/22kHz USVs/3extinction1/0223处理_ext1/EXT1B-ext 2025-01-01  8_45 PM_Stats.xlsx,35,202.0
2,EXT1B,extinction2,22,研究2/orginal data/22kHz USVs/6extinction2/0223处理/EXT1B 2025-02-08  3_36 PM_Stats.xlsx,35,35.0
2,EXT1B,extinction2,50,研究2/orginal data/50kHz USVs/6extinction2/EXT1B 2025-02-20  4_37 PM_Stats.xlsx,15,98.0
2,EXT1B,extinction3,22,研究2/orginal data/22kHz USVs/7extinction3/0223处理/EXT1B 2025-02-08  4_05 PM_Stats.xlsx,35,43.0
2,EXT1B,extinction3,50,研究2/orginal data/50kHz USVs/7extinction3/EXT1B 2025-02-20  8_56 PM_Stats.xlsx,15,165.0
2,EXT1B,extinction4,50,研究2/orginal data/50kHz USVs/8extinction4/EXT1B 2025-02-21 12_05 AM_Stats.xlsx,15,73.0
2,EXT1B,learning,22,研究2/orginal data/22kHz USVs/1learn/0223处理_learn/EXT1B 2024-12-31 12_03 AM_Stats.xlsx,35,200.0
2,EXT1B,learning,50,研究2/orginal data/50kHz USVs/1learn/EXT1B 2025-02-16 10_17 PM_Stats.xlsx,15,566.0
2,EXT1B,renewal,22,研究2/orginal data/22kHz USVs/5renewal/0223处理_renewal/EXT1Brenewal 2025-01-02  4_47 PM_Stats.xlsx,35,163.0
2,EXT1B,renewal,50,研究2/orginal data/50kHz USVs/5renewal/EXT1Brenewal 2025-02-17  7_54 PM_Stats.xlsx,15,2.0
2,EXT1B,retrieval,22,研究2/orginal data/22kHz USVs/2retrieve/0223处理_ret/EXT1B-ret 2025-01-01  5_41 PM_Stats.xlsx,35,62.0
2,EXT1B,retrieval,50,研究2/orginal data/50kHz USVs/2retrieve/EXT1B-ret 2025-02-16 10_54 PM_Stats.xlsx,15,104.0
2,EXT1G,LTM1,22,研究2/orginal data/22kHz USVs/4LTM/0223处理/EXT1G 2025-01-01  4_52 PM_Stats.xlsx,35,75.0
2,EXT1G,LTM1,50,研究2/orginal data/50kHz USVs/4LTM/EXT1G 2025-02-17  7_34 PM_Stats.xlsx,15,88.0
2,EXT1G,LTM2,22,研究2/orginal data/22kHz USVs/9LTM2/EXT1G 2025-02-08  4_40 PM_Stats.xlsx,15,4.0
2,EXT1G,LTM2,50,研究2/orginal data/50kHz USVs/9LTM2/EXT1G 2025-02-17  8_29 PM_Stats.xlsx,15,7.0
2,EXT1G,extinction1,22,研究2/orginal data/22kHz USVs/3extinction1/0223处理_ext1/EXT1G-ext 2024-12-31  7_00 PM_Stats.xlsx,35,250.0
2,EXT1G,extinction2,50,研究2/orginal data/50kHz USVs/6extinction2/EXT1G 2025-02-20  4_28 PM_Stats.xlsx,15,14.0
2,EXT1G,extinction3,22,研究2/orginal data/22kHz USVs/7extinction3/0223处理/EXT1G 2025-02-08  3_57 PM_Stats.xlsx,35,16.0
2,EXT1G,extinction3,50,研究2/orginal data/50kHz USVs/7extinction3/EXT1G 2025-02-20  8_45 PM_Stats.xlsx,15,15.0
2,EXT1G,extinction4,50,研究2/orginal data/50kHz USVs/8extinction4/EXT1G 2025-02-20 11_56 PM_Stats.xlsx,15,16.0
2,EXT1G,learning,22,研究2/orginal data/22kHz USVs/1learn/0223处理_learn/EXT1G 2024-12-30  9_52 PM_Stats.xlsx,35,242.0
2,EXT1G,learning,50,研究2/orginal data/50kHz USVs/1learn/EXT1G 2025-02-16 10_05 PM_Stats.xlsx,15,514.0
