study,subject_id,session_name,time_min,time_max,usv_recorded,lever_recorded,freezing_recorded,boli_recorded,group_guess,context_guess
2,EXT1R,renewal,0.0,550.0,True,True,True,True,extinction,A
2,EXT1R,retrieval,0.0,380.0,True,True,True,True,extinction,B_or_operant
2,EXT2B,LTM1,0.0,750.0,True,False,True,True,extinction,B_or_operant
2,EXT2B,LTM2,0.0,735.0,True,True,True,True,extinction,B_or_operant
2,EXT2B,extinction1,0.0,3435.0,True,True,True,True,extinction,B_or_operant
2,EXT2B,extinction2,0.0,2000.0,True,True,True,True,extinction,B_or_operant
2,EXT2B,extinction3,0.0,1995.0,True,True,True,True,extinction,B_or_operant
2,EXT2B,extinction4,0.0,2010.0,True,True,True,True,extinction,B_or_operant
2,EXT2B,learning,0.0,1145.0,True,True,True,True,extinction,A
2,EXT2B,lever_training,0.0,2400.0,False,True,False,False,extinction,B_or_operant
2,EXT2B,renewal,0.0,735.0,True,True,True,True,extinction,A
2,EXT2B,retrieval,0.0,375.0,True,True,True,True,extinction,B_or_operant
2,EXT2G,LTM1,0.0,715.0,True,False,True,True,extinction,B_or_operant
2,EXT2G,LTM2,0.0,735.0,True,True,True,True,extinction,B_or_operant
2,EXT2G,extinction1,0.0,3445.0,True,True,True,True,extinction,B_or_operant
2,EXT2G,extinction2,0.0,1975.0,True,False,True,True,extinction,B_or_operant
2,EXT2G,extinction3,0.0,2005.0,True,True,True,True,extinction,B_or_operant
2,EXT2G,extinction4,0.0,2000.0,True,True,True,True,extinction,B_or_operant
2,EXT2G,learning,0.0,1140.0,True,True,True,True,extinction,A
2,EXT2G,lever_training,0.0,2400.0,False,True,False,False,extinction,B_or_operant
2,EXT2G,renewal,0.0,730.0,True,True,True,True,extinction,A
2,EXT2G,retrieval,0.0,380.0,True,True,True,True,extinction,B_or_operant
2,EXT2R,LTM1,0.0,715.0,True,False,True,True,extinction,B_or_operant
2,EXT2R,LTM2,0.0,735.0,True,True,True,True,extinction,B_or_operant
2,EXT2R,extinction1,0.0,3445.0,True,True,True,True,extinction,B_or_operant
2,EXT2R,extinction2,0.0,1975.0,True,False,True,True,extinction,B_or_operant
2,EXT2R,extinction3,0.0,2005.0,True,True,True,True,extinction,B_or_operant
2,EXT2R,extinction4,0.0,2000.0,True,True,True,True,extinction,B_or_operant
2,EXT2R,learning,0.0,1150.0,True,True,True,True,extinction,A
